,District,PROPERTY Address,PROPERTY Boro-Block-Lot,PROPERTY Building Classification,PROPERTY Condo Section,PROPERTY Full Market Value,PROPERTY Gross Income per SqFt,PROPERTY Gross SqFt,PROPERTY Market Value per SqFt,PROPERTY Neighborhood,PROPERTY Total Units,PROPERTY Year Built,RENTAL 1 Address,RENTAL 1 Boro-Block-Lot,RENTAL 1 Building Classification,RENTAL 1 Full Market Value,RENTAL 1 Gross Income per SqFt,RENTAL 1 Gross SqFt,RENTAL 1 Market Value per SqFt,RENTAL 1 Neighborhood,RENTAL 1 Total Units,RENTAL 1 Year Built,Year
4204,Brooklyn,2231 64 STREET,3-06552-7501,R2-WALK-UP,1654-R1,814004,18,11427,71,BOROUGH PARK,12,2006,1691 65 STREET,3-05545-0047,C7-WALK-UP,2180000,14.93,43200,50,BOROUGH PARK,48,1931,2010
4205,Brooklyn,6214 24 AVENUE,3-06557-7502,R4-ELEVATOR,1904-R1,1470000,13.62,29596,49.7,BOROUGH PARK,22,0,859 42 STREET,3-00923-0050,C1-WALK-UP,946000,13.62,22296,42.4,BOROUGH PARK,31,1927,2010
4206,Brooklyn,2469 65 STREET,3-06562-7501,R4-ELEVATOR,1184-R1,886004,12.63,16153,55,BOROUGH PARK,13,0,6402 FT HAMILTON PARKWAY,3-05743-0021,C7-WALK-UP,614000,20.51,8008,77,BOROUGH PARK,14,1931,2010
4207,Brooklyn,1460 WEST 5 STREET,3-06579-7501,R4-ELEVATOR,1070-R1,767999,18.65,13257,58,GRAVESEND,23,2003,267 AVENUE P,3-06602-0045,D1-ELEVATOR,2010000,25.1,19300,104,GRAVESEND,12,2006,2010
4208,Brooklyn,143 AVENUE O,3-06579-7502,R4-ELEVATOR,1916-R1,1610000,16,25487,63,GRAVESEND,11,2005,802 BERGEN STREET,3-01148-0020,D1-ELEVATOR,1250000,13.85,28912,43.2,CROWN HEIGHTS,32,2001,2010
4209,Brooklyn,1489 EAST 8 STREET,3-06590-7501,R2-WALK-UP,219-R1,500001,12.27,11800,42.4,OCEAN PARKWAY-NORTH,16,1926,285 EAST 8 STREET,3-05360-0082,C1-WALK-UP,256000,9.77,11000,23.27,OCEAN PARKWAY-NORTH,16,1930,2010
4210,Brooklyn,1569 WEST 7 STREET,3-06600-7501,R4-ELEVATOR,1463-R1,1509999,16.05,23777,64,GRAVESEND,19,2005,4018 5 AVENUE,3-00714-0044,C7-WALK-UP,1390000,16.69,24620,56,SUNSET PARK,32,1906,2010
4211,Brooklyn,1562 WEST 6 STREET,3-06600-7502,R4-ELEVATOR,1991-R1,2260000,23,22602,100,GRAVESEND,24,2006,549 6 AVENUE,3-01043-0001,C1-WALK-UP,991000,22.76,10508,94,PARK SLOPE SOUTH,16,1931,2010
4212,Brooklyn,1620 EAST 2 STREET,3-06608-7501,R4-ELEVATOR,19-R1,1830005,11.64,60600,30.2,OCEAN PARKWAY-NORTH,64,1941,675 EMPIRE BOULEVARD,3-01422-0001,D7-ELEVATOR,2730000,12.5,77847,35.1,CROWN HEIGHTS,77,1928,2010
4213,Brooklyn,1642 WEST 9 STREET,3-06622-7501,R4-ELEVATOR,1303-R1,1749999,21.65,18571,94,GRAVESEND,21,2004,254 WATER STREET,3-00042-0018,D8-ELEVATOR,2540000,21.65,28358,90,DOWNTOWN-FULTON FERRY,26,2002,2010
